PIDB_ID,State,County,FIPS,PointTypeGeneral,PointType,Trinomial,DINAA_URI,RawMaterialGeneral,RawMaterialSimple,MaxLength,MLIncomplete,MaxWidth,MWIncomplete,HeightMaxWidth,BasalWidth,BWIncomplete,DepthBasalConcavity,DBCIncomplete,MaxThickness,MTIncomplete,Reworked,ReferenceID,Title,YearPublished,PublishedSource,SurveyNumber,STATE_FIPS,CNTY_FIPS,Lat_CountyCentroid,Long_CountyCentroid,Latitude,Longitude
14,Alabama,Morgan,01103,Clovis,CLOVIS,,,Bangor chert,Other,38,TRUE,28,FALSE,,27,FALSE,4,FALSE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",14,01,103,34.45345708,-86.85292607,34.45345708,-86.85292607
15,Alabama,Madison,01089,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,85,FALSE,29,FALSE,,29,FALSE,8,FALSE,8,FALSE,LATERAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",15,01,089,34.76309835,-86.55021146,34.76309835,-86.55021146
16,Alabama,Madison,01089,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,38,TRUE,26,TRUE,,24,FALSE,7,FALSE,6,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",16,01,089,34.76309835,-86.55021146,34.76309835,-86.55021146
17,Alabama,Blount,01009,Quad_BeaverLake,QUAD,,,"Chert, unidentified",Other,30,TRUE,32,TRUE,,32,FALSE,5,FALSE,6,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",17,01,009,33.98083504,-86.56739613,33.98083504,-86.56739613
18,Alabama,Blount,01009,Quad_BeaverLake,QUAD (possible),,,Unknown,Other,41,TRUE,28,FALSE,,28,FALSE,2,FALSE,6,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",18,01,009,33.98083504,-86.56739613,33.98083504,-86.56739613
19,Alabama,Lawrence,01079,Clovis,CLOVIS,,,"Chert, fossiliferous unidentified",Other,73,FALSE,33,FALSE,,27,FALSE,4,FALSE,9,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",19,01,079,34.52201656,-87.31107451,34.52201656,-87.31107451
20,Alabama,Colbert,01033,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,32,TRUE,35,TRUE,,22,FALSE,1,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",20,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
21,Alabama,Colbert,01033,Quad_BeaverLake,QUAD,,,"Chert, unidentified",Other,52,FALSE,27,FALSE,,27,FALSE,4,FALSE,9,FALSE,DISTAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",21,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
22,Alabama,Limestone,01083,Clovis,CLOVIS,,,Knox chert,Other,52,FALSE,25,FALSE,,25,FALSE,3,FALSE,6,FALSE,DISTAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",22,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
23,Alabama,Colbert,01033,Clovis,CLOVIS,,,"Chert, unidentified",Other,83,TRUE,25,FALSE,,8,FALSE,4,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",23,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
24,Alabama,Lawrence,01079,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,66,TRUE,29,FALSE,,20,FALSE,4,FALSE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",24,01,079,34.52201656,-87.31107451,34.52201656,-87.31107451
25,Alabama,Colbert,01033,Cumberland,CUMBERLAND,,,Unknown,Other,89,TRUE,26,FALSE,,20,FALSE,2,FALSE,10,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",25,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
26,Alabama,Madison,01089,Cumberland,CUMBERLAND,,,"Chert, unidentified",Other,61,TRUE,23,FALSE,,11,TRUE,0,TRUE,9,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",26,01,089,34.76309835,-86.55021146,34.76309835,-86.55021146
27,Alabama,Franklin,01059,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,73,FALSE,28,FALSE,,22,FALSE,4,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",27,01,059,34.44165971,-87.84382962,34.44165971,-87.84382962
28,Alabama,Colbert,01033,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,55,FALSE,21,FALSE,,21,FALSE,7,FALSE,7,FALSE,DISTAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",28,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
29,Alabama,Colbert,01033,Clovis,CLOVIS,,,"Chert, fossiliferous unidentified",Other,42,TRUE,22,FALSE,,20,FALSE,2,FALSE,6,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",29,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
30,Alabama,Blount,01009,Cumberland,CUMBERLAND,,,Unknown,Other,60,FALSE,25,FALSE,,25,FALSE,2,FALSE,9,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",30,01,009,33.98083504,-86.56739613,33.98083504,-86.56739613
31,Alabama,Limestone,01083,Clovis,CLOVIS,,,Unknown,Other,113,TRUE,34,FALSE,,26,FALSE,5,FALSE,9,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",31,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
32,Alabama,Limestone,01083,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,76,TRUE,27,FALSE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",32,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
33,Alabama,Limestone,01083,Quad_BeaverLake,BEAVER LAKE,,,"Chert, unidentified",Other,39,TRUE,21,TRUE,,21,FALSE,2,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",33,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
34,Alabama,Limestone,01083,Cumberland,CUMBERLAND,,,Unknown,Other,29,TRUE,28,TRUE,,20,TRUE,2,TRUE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",34,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
35,Alabama,Limestone,01083,Quad_BeaverLake,BEAVER LAKE,,,Fort Payne chert,Fort Payne chert,26,TRUE,18,TRUE,,21,FALSE,7,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",35,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
36,Alabama,Limestone,01083,Clovis,CLOVIS (possible),,,Bangor chert,Other,25,TRUE,27,TRUE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",36,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
37,Alabama,Limestone,01083,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,28,TRUE,27,TRUE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",37,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
38,Alabama,Limestone,01083,Clovis,CLOVIS,,,Unknown,Other,40,TRUE,38,TRUE,,31,FALSE,4,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",38,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
39,Alabama,Limestone,01083,Quad_BeaverLake,BEAVER LAKE,,,Bangor chert,Other,60,FALSE,23,FALSE,,22,FALSE,3,FALSE,8,FALSE,DISTAL (possible),7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",39,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
40,Alabama,Limestone,01083,Clovis,CLOVIS,,,,Other,54,TRUE,38,TRUE,,21,TRUE,4,FALSE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",40,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
41,Alabama,Madison,01089,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,75,TRUE,32,FALSE,,20,TRUE,2,TRUE,8,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",41,01,089,34.76309835,-86.55021146,34.76309835,-86.55021146
42,Alabama,Limestone,01083,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,48,TRUE,28,TRUE,,29,FALSE,4,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",42,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
43,Alabama,Limestone,01083,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,22,TRUE,24,TRUE,,25,FALSE,6,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",43,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
44,Alabama,Limestone,01083,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,38,TRUE,34,TRUE,,32,FALSE,2,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",44,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
45,Alabama,Limestone,01083,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,44,TRUE,20,TRUE,,12,TRUE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",45,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
46,Alabama,Colbert,01033,Quad_BeaverLake,QUAD,,,Fort Payne chert,Fort Payne chert,28,TRUE,25,TRUE,,27,TRUE,7,TRUE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",46,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
47,Alabama,Colbert,01033,Quad_BeaverLake,QUAD (possible),,,Fort Payne chert,Fort Payne chert,28,TRUE,26,FALSE,,26,FALSE,3,FALSE,,FALSE,LATERAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",47,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
48,Alabama,Colbert,01033,Quad_BeaverLake,BEAVER LAKE,,,Fort Payne chert,Fort Payne chert,41,TRUE,26,FALSE,,26,FALSE,2,FALSE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",48,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
49,Alabama,Colbert,01033,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,39,TRUE,28,FALSE,,28,TRUE,,FALSE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",49,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
50,Alabama,Limestone,01083,Quad_BeaverLake,BEAVER LAKE,1LI248,http://opencontext.org/subjects/FFD4B3DA-5706-4F7B-1F71-F07A7100155F,Fort Payne chert,Fort Payne chert,36,TRUE,28,TRUE,,14,TRUE,2,TRUE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",50,01,083,34.81007719,-86.98135525,34.81007719,-86.98135525
51,Alabama,Colbert,01033,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,35,TRUE,26,TRUE,,27,TRUE,3,TRUE,7,TRUE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",51,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
52,Alabama,Colbert,01033,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,34,TRUE,26,TRUE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",52,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
53,Alabama,Colbert,01033,Clovis,CLOVIS,,,Fort Payne chert,Fort Payne chert,40,TRUE,26,TRUE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",53,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
54,Alabama,Colbert,01033,Clovis,CLOVIS,,,"Chert, fossiliferous unidentified",Other,21,TRUE,28,TRUE,,26,FALSE,5,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",54,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
55,Alabama,Colbert,01033,Clovis,CLOVIS,,,"Chert, unidentified",Other,18,TRUE,31,TRUE,,19,TRUE,7,TRUE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",55,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
56,Alabama,Colbert,01033,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,37,TRUE,18,TRUE,,13,TRUE,3,TRUE,7,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",56,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
57,Alabama,Colbert,01033,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,20,TRUE,22,TRUE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",57,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
58,Alabama,Colbert,01033,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,46,TRUE,20,TRUE,,,FALSE,,FALSE,,FALSE,LATERAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",58,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
59,Alabama,Colbert,01033,Cumberland,CUMBERLAND,,,Fort Payne chert,Fort Payne chert,46,TRUE,12,TRUE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",59,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
60,Alabama,Colbert,01033,Clovis,CLOVIS (possible),,,Fort Payne chert,Fort Payne chert,16,TRUE,26,TRUE,,26,FALSE,1,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",60,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
61,Alabama,Colbert,01033,Quad_BeaverLake,BEAVER LAKE,,,Fort Payne chert,Fort Payne chert,22,TRUE,24,TRUE,,22,FALSE,1,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",61,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
62,Alabama,Colbert,01033,Quad_BeaverLake,QUAD (possible),,,Fort Payne chert,Fort Payne chert,19,TRUE,28,TRUE,,28,FALSE,3,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",62,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
63,Alabama,Colbert,01033,Quad_BeaverLake,BEAVER LAKE,,,Unknown,Other,32,TRUE,28,TRUE,,20,TRUE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",63,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
64,Alabama,Colbert,01033,Cumberland,CUMBERLAND (possible),,,Fort Payne chert,Fort Payne chert,27,TRUE,18,TRUE,,,FALSE,,FALSE,5,TRUE,RECYCLED,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",64,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
65,Alabama,Colbert,01033,Quad_BeaverLake,QUAD,,,Fort Payne chert,Fort Payne chert,34,TRUE,29,FALSE,,29,FALSE,4,FALSE,7,FALSE,LATERAL,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",65,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
66,Alabama,Colbert,01033,Quad_BeaverLake,QUAD,,,"Chert, fossiliferous unidentified",Other,14,TRUE,31,TRUE,,31,FALSE,4,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",66,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
67,Alabama,Colbert,01033,,UNIDENTIFIED,,,Fort Payne chert,Fort Payne chert,26,TRUE,19,TRUE,,,FALSE,,FALSE,,FALSE,NONE,7,"Alabama Paleoindian Points Survey, This survey is joint project of Alabama Archaeological Society and the Office of Archaeological Research.",2005,"PIDBA, This survey is joint project of OAR and AAS.",67,01,033,34.70043995,-87.80499494,34.70043995,-87.80499494
